freq,unit,deg_urb,rskpovth,geo,time,value
Annual,Percentage,Cities,Below 60%,Germany,2003,
Annual,Percentage,Cities,Below 60%,Germany,2004,
Annual,Percentage,Cities,Below 60%,Germany,2005,40.0
Annual,Percentage,Cities,Below 60%,Germany,2006,39.7
Annual,Percentage,Cities,Below 60%,Germany,2007,42.5
Annual,Percentage,Cities,Below 60%,Germany,2008,41.7
Annual,Percentage,Cities,Below 60%,Germany,2009,38.6
Annual,Percentage,Cities,Below 60%,Germany,2010,39.5
Annual,Percentage,Cities,Below 60%,Germany,2011,39.4
Annual,Percentage,Cities,Below 60%,Germany,2012,41.1
Annual,Percentage,Cities,Below 60%,Germany,2013,41.7
Annual,Percentage,Cities,Below 60%,Germany,2014,41.8
Annual,Percentage,Cities,Below 60%,Germany,2015,41.6
Annual,Percentage,Cities,Below 60%,Germany,2016,41.2
Annual,Percentage,Cities,Below 60%,Germany,2017,41.8
Annual,Percentage,Cities,Below 60%,Germany,2018,41.0
Annual,Percentage,Cities,Below 60%,Germany,2019,41.0
Annual,Percentage,Cities,Below 60%,Germany,2020,27.9
Annual,Percentage,Cities,Below 60%,Germany,2023,30.6
Annual,Percentage,Cities,Below 60%,Estonia,2003,
Annual,Percentage,Cities,Below 60%,Estonia,2004,59.8
Annual,Percentage,Cities,Below 60%,Estonia,2005,31.6
Annual,Percentage,Cities,Below 60%,Estonia,2006,35.0
Annual,Percentage,Cities,Below 60%,Estonia,2007,26.2
Annual,Percentage,Cities,Below 60%,Estonia,2008,22.4
Annual,Percentage,Cities,Below 60%,Estonia,2009,16.2
Annual,Percentage,Cities,Below 60%,Estonia,2010,18.3
Annual,Percentage,Cities,Below 60%,Estonia,2011,25.3
Annual,Percentage,Cities,Below 60%,Estonia,2012,23.8
Annual,Percentage,Cities,Below 60%,Estonia,2013,14.3
Annual,Percentage,Cities,Below 60%,Estonia,2014,18.3
Annual,Percentage,Cities,Below 60%,Estonia,2015,14.4
Annual,Percentage,Cities,Below 60%,Estonia,2016,19.8
Annual,Percentage,Cities,Below 60%,Estonia,2017,14.7
Annual,Percentage,Cities,Below 60%,Estonia,2018,11.3
Annual,Percentage,Cities,Below 60%,Estonia,2019,9.7
Annual,Percentage,Cities,Below 60%,Estonia,2020,6.3
Annual,Percentage,Cities,Below 60%,Estonia,2023,11.1
Annual,Percentage,Cities,Below 60%,Ireland,2003,26.3
Annual,Percentage,Cities,Below 60%,Ireland,2004,27.7
Annual,Percentage,Cities,Below 60%,Ireland,2005,28.2
Annual,Percentage,Cities,Below 60%,Ireland,2006,26.8
Annual,Percentage,Cities,Below 60%,Ireland,2007,24.9
Annual,Percentage,Cities,Below 60%,Ireland,2008,21.5
Annual,Percentage,Cities,Below 60%,Ireland,2009,26.6
Annual,Percentage,Cities,Below 60%,Ireland,2010,19.3
Annual,Percentage,Cities,Below 60%,Ireland,2011,22.0
Annual,Percentage,Cities,Below 60%,Ireland,2012,10.6
Annual,Percentage,Cities,Below 60%,Ireland,2013,12.6
Annual,Percentage,Cities,Below 60%,Ireland,2014,14.0
Annual,Percentage,Cities,Below 60%,Ireland,2015,18.1
Annual,Percentage,Cities,Below 60%,Ireland,2016,23.0
Annual,Percentage,Cities,Below 60%,Ireland,2017,25.9
Annual,Percentage,Cities,Below 60%,Ireland,2018,14.5
Annual,Percentage,Cities,Below 60%,Ireland,2019,20.1
Annual,Percentage,Cities,Below 60%,Ireland,2020,30.2
Annual,Percentage,Cities,Below 60%,Ireland,2023,17.0
Annual,Percentage,Cities,Below 60%,Greece,2003,26.1
Annual,Percentage,Cities,Below 60%,Greece,2004,30.6
Annual,Percentage,Cities,Below 60%,Greece,2005,26.6
Annual,Percentage,Cities,Below 60%,Greece,2006,29.4
Annual,Percentage,Cities,Below 60%,Greece,2007,32.2
Annual,Percentage,Cities,Below 60%,Greece,2008,31.2
Annual,Percentage,Cities,Below 60%,Greece,2009,29.4
Annual,Percentage,Cities,Below 60%,Greece,2010,32.0
Annual,Percentage,Cities,Below 60%,Greece,2011,37.4
Annual,Percentage,Cities,Below 60%,Greece,2012,34.8
Annual,Percentage,Cities,Below 60%,Greece,2013,39.4
Annual,Percentage,Cities,Below 60%,Greece,2014,24.7
Annual,Percentage,Cities,Below 60%,Greece,2015,27.0
Annual,Percentage,Cities,Below 60%,Greece,2016,23.9
Annual,Percentage,Cities,Below 60%,Greece,2017,25.1
Annual,Percentage,Cities,Below 60%,Greece,2018,29.8
Annual,Percentage,Cities,Below 60%,Greece,2019,32.0
Annual,Percentage,Cities,Below 60%,Greece,2020,39.8
Annual,Percentage,Cities,Below 60%,Greece,2023,42.3
Annual,Percentage,Cities,Below 60%,Spain,2003,
Annual,Percentage,Cities,Below 60%,Spain,2004,30.7
Annual,Percentage,Cities,Below 60%,Spain,2005,36.0
Annual,Percentage,Cities,Below 60%,Spain,2006,32.2
Annual,Percentage,Cities,Below 60%,Spain,2007,31.9
Annual,Percentage,Cities,Below 60%,Spain,2008,29.1
Annual,Percentage,Cities,Below 60%,Spain,2009,26.7
Annual,Percentage,Cities,Below 60%,Spain,2010,23.3
Annual,Percentage,Cities,Below 60%,Spain,2011,19.0
Annual,Percentage,Cities,Below 60%,Spain,2012,21.3
Annual,Percentage,Cities,Below 60%,Spain,2013,26.2
Annual,Percentage,Cities,Below 60%,Spain,2014,22.0
Annual,Percentage,Cities,Below 60%,Spain,2015,22.7
Annual,Percentage,Cities,Below 60%,Spain,2016,27.7
Annual,Percentage,Cities,Below 60%,Spain,2017,26.1
Annual,Percentage,Cities,Below 60%,Spain,2018,26.2
Annual,Percentage,Cities,Below 60%,Spain,2019,21.4
Annual,Percentage,Cities,Below 60%,Spain,2020,32.6
Annual,Percentage,Cities,Below 60%,Spain,2023,31.5
Annual,Percentage,Cities,Below 60%,France,2003,
Annual,Percentage,Cities,Below 60%,France,2004,36.6
Annual,Percentage,Cities,Below 60%,France,2005,36.2
Annual,Percentage,Cities,Below 60%,France,2006,38.5
Annual,Percentage,Cities,Below 60%,France,2007,31.5
Annual,Percentage,Cities,Below 60%,France,2008,31.3
Annual,Percentage,Cities,Below 60%,France,2009,31.5
