currency,prod_veg,geo,year,selling_price,temperature_2m_mean,precipitation_sum,price_lag1,price_lag2
Euro,Feed barley,Germany,2019,15.69,11.452054794520548,532.0,16.55,13.61
Euro,Feed barley,Germany,2020,15.03,11.2724043715847,538.7,15.69,16.55
Euro,Feed barley,Germany,2021,19.84,9.788767123287672,661.1,15.03,15.69
Euro,Feed barley,Germany,2022,28.58,10.990958904109588,489.0,19.84,15.03
Euro,Feed barley,Germany,2023,18.97,11.14,830.9,28.58,19.84
Euro,Feed barley,Germany,2024,16.16,11.74672131147541,647.3,18.97,28.58
Euro,Rye,Germany,2017,13.95,9.966575342465754,836.0,12.2,13.25
Euro,Rye,Germany,2018,15.99,11.186849315068493,412.5,13.95,12.2
Euro,Rye,Germany,2019,15.14,11.452054794520548,532.0,15.99,13.95
Euro,Rye,Germany,2020,13.88,11.2724043715847,538.7,15.14,15.99
Euro,Rye,Germany,2021,17.93,9.788767123287672,661.1,13.88,15.14
Euro,Rye,Germany,2022,28.22,10.990958904109588,489.0,17.93,13.88
Euro,Rye,Germany,2023,19.04,11.14,830.9,28.22,17.93
Euro,Rye,Germany,2024,15.7,11.74672131147541,647.3,19.04,28.22
Euro,Soft wheat,Germany,2017,15.13,9.966575342465754,836.0,14.05,16.15
Euro,Soft wheat,Germany,2018,16.84,11.186849315068493,412.5,15.13,14.05
Euro,Soft wheat,Germany,2019,16.69,11.452054794520548,532.0,16.84,15.13
Euro,Soft wheat,Germany,2020,17.21,11.2724043715847,538.7,16.69,16.84
Euro,Soft wheat,Germany,2021,21.96,9.788767123287672,661.1,17.21,16.69
Euro,Soft wheat,Germany,2022,32.1,10.990958904109588,489.0,21.96,17.21
Euro,Soft wheat,Germany,2023,25.64,11.14,830.9,32.1,21.96
Euro,Soft wheat,Germany,2024,23.97,11.74672131147541,647.3,25.64,32.1
Euro,Barley,Greece,2017,15.83,17.715616438356165,461.5,16.2,16.72
Euro,Barley,Greece,2018,15.61,18.075342465753423,593.0,15.83,16.2
Euro,Barley,Greece,2019,16.22,17.815068493150687,715.6,15.61,15.83
Euro,Barley,Greece,2020,15.6,17.75846994535519,579.6,16.22,15.61
Euro,Barley,Greece,2021,19.25,17.90986301369863,511.9,15.6,16.22
Euro,Barley,Greece,2022,30.52,17.728219178082192,353.3,19.25,15.6
Euro,Barley,Greece,2023,19.16,18.416986301369864,561.4,30.52,19.25
Euro,Barley,Greece,2024,18.67,19.231147540983606,486.0,19.16,30.52
Euro,Durum wheat,Greece,2017,19.43,17.715616438356165,461.5,18.86,23.93
Euro,Durum wheat,Greece,2018,18.83,18.075342465753423,593.0,19.43,18.86
Euro,Durum wheat,Greece,2019,20.24,17.815068493150687,715.6,18.83,19.43
Euro,Durum wheat,Greece,2020,23.01,17.75846994535519,579.6,20.24,18.83
Euro,Durum wheat,Greece,2021,33.14,17.90986301369863,511.9,23.01,20.24
Euro,Durum wheat,Greece,2022,43.23,17.728219178082192,353.3,33.14,23.01
